Slot,Item,AStab,ASlash,ACrush,AMagic,ARange,DStab,DSlash,DCrush,DMagic,DRange,MeleeStr,RangeStr,MagicDmg,Prayer,Req Skill,Req Level,Quest,Value,Members
weapon,bronze dagger,4,2,-4,0,0,0,0,0,0,0,3,0,0,0,attack,1,,10,no
weapon,bronze pickaxe,4,-2,2,0,0,0,1,0,0,0,5,0,0,0,attack,1,,20,no
weapon,iron dagger,5,3,-4,0,0,0,0,0,0,0,4,0,0,0,attack,1,,20,no
weapon,shortbow,0,0,0,0,8,0,0,0,0,0,0,0,0,0,ranged,1,,20,no
weapon,bronze sword,4,3,-2,0,0,0,2,1,0,0,5,0,0,0,attack,1,,30,no
weapon,bronze scimitar,1,7,-2,0,0,0,1,0,0,0,6,0,0,0,attack,1,,40,no
weapon,iron pickaxe,5,-2,3,0,0,0,1,0,0,0,7,0,0,0,attack,1,,40,no
weapon,steel dagger,8,4,-4,0,0,0,0,0,0,0,7,0,0,0,attack,5,,40,no
weapon,oak shortbow,0,0,0,0,14,0,0,0,0,0,0,0,0,0,ranged,5,,40,no
weapon,iron sword,6,4,-2,0,0,0,2,1,0,0,7,0,0,0,attack,1,,60,no
weapon,black dagger,10,5,-4,0,0,0,0,0,0,0,7,0,0,0,attack,10,,70,no
weapon,willow shortbow,0,0,0,0,20,0,0,0,0,0,0,0,0,0,ranged,20,,70,no
weapon,iron scimitar,2,10,-2,0,0,0,1,0,0,0,9,0,0,0,attack,1,,80,no
weapon,steel pickaxe,8,-2,6,0,0,0,1,0,0,0,9,0,0,0,attack,5,,80,no
weapon,longbow,0,0,0,0,8,0,0,0,0,0,0,0,0,0,ranged,1,,80,no
weapon,knight's sword,6,9,-2,0,0,0,0,0,0,0,8,0,0,0,attack,5,,100,no
weapon,steel sword,11,8,-2,0,0,0,2,1,0,0,12,0,0,0,attack,5,,120,no
weapon,mithril dagger,11,5,-4,0,0,0,0,0,0,0,10,0,0,0,attack,20,,120,no
weapon,steel scimitar,3,15,-2,0,0,0,1,0,0,0,14,0,0,0,attack,5,,160,no
weapon,oak longbow,0,0,0,0,14,0,0,0,0,0,0,0,0,0,ranged,5,,160,no
weapon,black sword,14,10,-2,0,0,0,2,1,0,0,12,0,0,0,attack,10,,210,no
weapon,mithril pickaxe,12,-2,10,0,0,0,1,0,0,0,13,0,0,0,attack,20,,240,no
weapon,adamant dagger,15,8,-4,0,0,0,0,0,0,0,14,0,0,0,attack,30,,250,no
weapon,black scimitar,4,19,-2,0,0,0,1,0,0,0,14,0,0,0,attack,10,,280,no
weapon,willow longbow,0,0,0,0,20,0,0,0,0,0,0,0,0,0,ranged,20,,320,yes
weapon,mithril sword,16,11,-2,0,0,0,2,1,0,0,17,0,0,0,attack,20,,360,no
weapon,maple shortbow,0,0,0,0,29,0,0,0,0,0,0,0,0,0,ranged,30,,400,no
