Slot,Item,Members,Value,HighAlch,Weight,Speed,WeaponType,AStab,ASlash,ACrush,AMagic,ARange,DStab,DSlash,DCrush,DMagic,DRange,MeleeStr,RangeStr,MagicDmg%,Prayer,Requirements
head,20th anniversary hat,no,0,0,0.907,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,3rd age full helmet,yes,90000,54000,0.907,,,0,0,0,-5,-2,47,49,43,-3,48,0,0,0,0,defence 65
head,3rd age mage hat,yes,50400,30240,0.4,,,0,0,0,8,0,0,0,0,8,0,0,0,0,0,"magic 65, defence 30"
head,3rd age range coif,yes,50400,30240,1.0,,,0,0,0,-2,9,4,7,10,5,8,0,0,0,0,"ranged 65, defence 45"
head,4th birthday hat,no,0,0,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,A powdered wig,yes,2000,1200,0.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Accumulator max hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"attack 99, strength 99, defence 99, hitpoints 99, ranged 99, prayer 99, magic 99, cooking 99, woodcutting 99, fletching 99, fishing 99, firemaking 99, crafting 99, smithing 99, mining 99, herblore 99, agility 99, thieving 99, slayer 99, farming 99, runecraft 99, hunter 99, construction 99"
head,Achievement diary hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Adamant dragon mask,yes,10000,6000,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Adamant full helm,no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant full helm (g),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant full helm (t),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant helm (h1),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant helm (h2),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant helm (h3),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant helm (h4),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant helm (h5),no,3520,2112,3.175,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant heraldic helm,yes,3520,2112,2.721,,,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,defence 30
head,Adamant med helm,no,1920,1152,2.267,,,0,0,0,-3,0,14,15,13,-1,14,0,0,0,0,defence 30
head,Afro,yes,684,410,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Agility hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agility 99
head,Ahrim's hood,yes,13000,7800,0.907,,,0,0,0,6,-2,15,13,16,6,0,0,0,0,0,"magic 70, defence 70"
head,Ahrim's hood 100,yes,13000,7800,0.907,,,0,0,0,6,-2,15,13,16,6,0,0,0,0,0,"magic 70, defence 70"
head,Ahrim's hood 25,yes,13000,7800,0.907,,,0,0,0,6,-2,15,13,16,6,0,0,0,0,0,"magic 70, defence 70"
head,Ahrim's hood 50,yes,13000,7800,0.907,,,0,0,0,6,-2,15,13,16,6,0,0,0,0,0,"magic 70, defence 70"
head,Ahrim's hood 75,yes,13000,7800,0.907,,,0,0,0,6,-2,15,13,16,6,0,0,0,0,0,"magic 70, defence 70"
head,Air tiara,no,100,60,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Ancestral hat,yes,45000,27000,0.453,,,0,0,0,8,-2,12,11,13,5,0,0,0,2,0,"defence 65, magic 75"
head,Ancient coif,yes,2000,1200,0.9,,,0,0,0,-1,7,4,7,10,4,8,0,0,0,1,"ranged 70, defence 40"
head,Ancient full helm,no,35200,21120,2.721,,,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,1,defence 40
head,Ancient halo,yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Ancient halo (l),yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Ancient mitre,yes,5000,3000,0.3,,,0,0,0,4,0,0,0,0,4,0,0,0,0,5,"prayer 40, magic 40"
head,Angler hat,yes,100,60,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Ankou mask,yes,1,0,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Antisanta mask,no,0,0,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Arceuus hood,yes,1,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Archer helm,yes,60000,36000,2.721,,,-5,-5,-5,-5,6,6,8,10,6,6,0,0,0,0,defence 45
head,Ardougne knight helm,yes,600,360,2.721,,,0,0,0,-6,-3,6,7,5,-1,6,0,0,0,0,
head,Ardougne max hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"attack 99, strength 99, defence 99, hitpoints 99, ranged 99, prayer 99, magic 99, cooking 99, woodcutting 99, fletching 99, fishing 99, firemaking 99, crafting 99, smithing 99, mining 99, herblore 99, agility 99, thieving 99, slayer 99, farming 99, runecraft 99, hunter 99, construction 99"
head,Armadyl coif,yes,2000,1200,0.9,,,0,0,0,-1,7,4,7,10,4,8,0,0,0,1,"ranged 70, defence 40"
head,Armadyl full helm,no,35200,21120,2.721,,,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,1,defence 40
head,Armadyl halo,yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Armadyl halo (l),yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Armadyl helmet,yes,289000,173400,0.5,,,-5,-5,-5,-5,10,6,8,10,10,8,0,0,0,1,"defence 70, ranged 70"
head,Armadyl mitre,yes,5000,3000,0.3,,,0,0,0,4,0,0,0,0,4,0,0,0,0,5,"prayer 40, magic 40"
head,Assembler max hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"attack 99, strength 99, defence 99, hitpoints 99, ranged 99, prayer 99, magic 99, cooking 99, woodcutting 99, fletching 99, fishing 99, firemaking 99, crafting 99, smithing 99, mining 99, herblore 99, agility 99, thieving 99, slayer 99, farming 99, runecraft 99, hunter 99, construction 99"
head,Astral tiara,yes,100,60,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Attack hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack 99
head,Banana hat,no,1,0,0.09,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bandana eyepatch,yes,100,60,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bandos coif,yes,2000,1200,0.9,,,0,0,0,-1,7,4,7,10,4,8,0,0,0,1,"ranged 70, defence 40"
head,Bandos full helm,no,35200,21120,2.721,,,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,1,defence 40
head,Bandos halo,yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Bandos halo (l),yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Bandos mitre,yes,5000,3000,0.3,,,0,0,0,4,0,0,0,0,4,0,0,0,0,5,"prayer 40, magic 40"
head,Banshee mask,no,1,0,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Beanie,yes,600,360,0.002,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bearhead,yes,0,0,0.453,,,0,0,0,-3,-3,12,14,10,7,9,0,0,0,0,
head,Bedsheet,yes,1,0,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Beekeeper's hat,no,1,0,0.001,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Beret mask,yes,80,48,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Berserker helm,yes,60000,36000,2.721,,,0,0,0,-5,-5,31,29,33,0,30,3,0,0,0,defence 45
head,Big pirate hat,yes,1500,900,0.001,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black beret,yes,80,48,0.04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black boater,yes,225,135,0.01,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black cavalier,yes,200,120,0.08,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black demon mask,yes,4000,2400,0.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black dragon mask,yes,10000,6000,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black full helm,no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black full helm (g),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black full helm (t),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black h'ween mask,no,7,4,0.34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black headband,yes,40,24,0.04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black helm (h1),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black helm (h2),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black helm (h3),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black helm (h4),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black helm (h5),no,1056,633,2.721,,,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,defence 10
head,Black leprechaun hat,yes,5000,3000,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black mask,yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (1),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (1) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (10),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (10) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (2),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (2) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (3),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (3) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (4),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (4) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (5),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (5) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (6),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (6) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (7),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (7) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (8),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (8) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (9),yes,3000,1800,10.0,,,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (9) (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black mask (i),yes,3000,1800,10.0,,,0,0,0,0,0,9,10,8,-1,9,0,0,0,0,"defence 10, strength 20, combat 40"
head,Black med helm,no,576,345,1.814,,,0,0,0,-3,0,9,10,8,-1,9,0,0,0,0,defence 10
head,Black partyhat,no,1,0,0.056,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black santa hat,no,1,0,0.113,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black slayer helmet,yes,40000,24000,2.267,,,0,0,0,-6,-2,30,32,27,-1,30,0,0,0,0,defence 10
head,Black slayer helmet (i),yes,90000,54000,2.267,,,0,0,0,3,3,30,32,27,10,30,0,0,0,0,defence 10
head,Black tricorn hat,yes,50,30,0.003,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black unicorn mask,yes,1000,600,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Black wizard hat (g),no,2,1,0.453,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,
head,Black wizard hat (t),no,2,1,0.453,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,
head,Blacksmith's helm,yes,3000,1800,1.814,,,0,0,0,-6,-2,6,7,5,-1,6,0,0,0,0,
head,Blood'n'tar snelm,yes,300,180,2.0,,,0,0,0,-3,-1,7,8,6,-1,7,0,0,0,0,
head,Bloodbark helm,yes,15000,9000,0.907,,,0,0,0,5,0,16,14,17,6,0,0,0,0,0,"magic 60, defence 60"
head,Blue beret,yes,80,48,0.04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue boater,yes,225,135,0.01,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue dragon mask,yes,10000,6000,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue halloween mask,no,15,9,0.34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue hat,yes,160,96,0.453,,,0,0,0,3,0,0,0,0,3,0,0,0,0,0,
head,Blue headband,yes,40,24,0.04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue partyhat,no,1,0,0.056,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue tricorn hat,yes,50,30,0.003,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Blue wizard hat,no,2,1,0.453,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,
head,Blue wizard hat (g),no,2,1,0.453,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,
head,Blue wizard hat (t),no,2,1,0.453,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,
head,Bobble hat,no,1,0,0.25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Body tiara,no,100,60,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bomber cap,yes,1,0,0.001,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bounty hunter hat (tier 1),yes,0,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bounty hunter hat (tier 2),yes,0,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bounty hunter hat (tier 3),yes,0,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bounty hunter hat (tier 4),yes,0,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bounty hunter hat (tier 5),yes,0,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bounty hunter hat (tier 6),yes,0,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bowl wig,yes,1,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Brassica halo,yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Brassica halo (l),yes,1000,600,0.3,,,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,
head,Broken bark snelm,yes,300,180,2.0,,,0,0,0,-3,-1,7,8,6,-1,7,0,0,0,0,
head,Bronze dragon mask,yes,10000,6000,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bronze full helm,no,44,26,2.721,,,0,0,0,-6,-3,4,5,3,-1,4,0,0,0,0,defence 1
head,Bronze full helm (g),no,48,28,2.721,,,0,0,0,-6,-3,4,5,3,-1,4,0,0,0,0,defence 1
head,Bronze full helm (t),no,48,28,2.721,,,0,0,0,-6,-3,4,5,3,-1,4,0,0,0,0,defence 1
head,Bronze med helm,no,24,14,1.814,,,0,0,0,-3,0,3,4,2,-1,4,0,0,0,0,defence 1
head,Brown headband,yes,40,24,0.04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Brown tricorn hat,yes,50,30,0.003,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bruise blue snelm,yes,300,180,2.0,,,0,0,0,-3,-1,7,8,6,-1,7,0,0,0,0,
head,Bucket helm,yes,14000,8400,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bucket helm (g),yes,14000,8400,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bunny ears,no,1,0,0.226,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Bunnyman mask,no,0,0,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Camel mask,yes,1,0,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Camo helmet,no,1,0,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Cap and goggles,yes,1,0,0.001,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Carpenter's helmet,yes,320,0,1.02,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Castlewars hood,no,1,0,0.453,,,0,0,0,0,0,0,1,2,0,1,0,0,0,0,
head,Cat ears,no,1,0,0.09,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Cat mask,yes,2400,1440,2.267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Cavalier mask,yes,200,120,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Chaos tiara,yes,100,60,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Chef's hat,no,2,1,0.907,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Chicken head,no,1,0,0.25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Chompy bird hat,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Clown mask,no,1,0,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
head,Coif,no,200,120,0.907,,,0,0,0,-1,2,4,6,8,4,4,0,0,0,0,"ranged 20, defence 1"
head,Construct. hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,construction 99
head,Cooking hood,yes,1,0,0.453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cooking 99
head,Corrupted helm,yes,1,0,2.721,,,0,0,0,-6,-3,6,7,5,-1,6,0,0,0,0,
head,Corrupted helm (attuned),yes,1,0,2.721,,,6,6,2,6,6,48,48,48,48,48,0,0,0,2,
head,Corrupted helm (basic),yes,1,0,2.721,,,2,2,1,2,2,28,28,28,28,28,0,0,0,1,
